,name,contents
5467,돔배,도마
910,돔베오름,"도마(돔배)모양으로 편편하게 생겼다 하여 연유
"
2924,돔비,동부
167,돔뿍,담뿍
6170,돗,돌
4714,돗,⇒도새기.<돼지 품위는 다음과 같음.>
5126,돗-거름,돼지 거름
0,돗-거미,"황금거미
"
5466,돗-도고리,돼지 먹이통
6027,돗-두루외,어리숙한 사람의 악칭
726,돗-바령,"멧돼지가 많이 몰려와서 짓밟았다하여 붙여진 이름
"
3296,돗-수에,#NAME?
2311,돗-좀,쓸데없는 잠
4709,돗-지름,비계
4007,돗-코,매부리코
6026,돗-코,매부리코
3751,돗-통,#NAME?
6025,돗-헤치,돼지 해에 난 사람. 돼지띠
1354,돗도고리,"돌을 둥글고 넓적하게 파서 만든 돼지먹이용 함지박
"
166,돗돗,<똣똣. 날씨가 따뜻한 꼴
165,돗돗이,<똣똣이. 따뜻이
4467,돗보리,⇒남쇠
4381,돗줄레,율모기
1430,돗질-왓,돼지들이 잘 다니던 길
3295,돗치기-쿨,⇒돗수에
1677,돗헤치,돼지띠(亥年生)
4696,동-고개,곧은 목. 곧은 목 가진 소
5106,동-솔기,동줄기
795,동-언-새미,"동쪽에 있는 차가운 샘
"
3554,동-짐치,김치의 한가지
6348,동-카름,동쪽 동네
3750,동각-귀틀,동귀틀
601,동겨메다,동여매다.
4889,동경-불도,동경의 불교
5465,동고량,#NAME?
6387,동곳,고드름
3557,동구리,눈깔사탕
1163,동군자지-갈오지,"물살이 갈리는 곳을 갈오지라 한다. 
"
571,동그다,물 속에 담그다.
3556,동그랑-곤떡,#NAME?
5757,동긋,동곳
2922,동기-대죽,⇒동지대죽
570,동기다,당기다.
600,동나다,동강나다.
1040,동남물,"냇물이 동쪽으로 흘러간다하여 유래한 이름
"
2310,동녕,동냥
2309,동녕-글,어깨넘엇글
6024,동녕-바치,⇒걸렁바쉬
3749,동녘-거리,동쪽채
2921,동대기,차조 품종의 한가지
6023,동모,동무
1036,동물,"새모슬촌락의 동쪽에 있는 샘이라 하여 붙여진 이름
"
6315,동산,고개
6314,동산-질,고개티. 고갯길
6022,동세,동서(同婦)
2308,동아리,떼. 같은 행동을 하기 위하여 이루어진 무리
1192,동애기,"""아귀의 입과 같이 동쪽은 넓고 서쪽은 협소하다 하여 
 동아귀
 가 와전되어 불림""
"
5756,동전,동정
2824,동지,①장다리. ②꽃맺이
3555,동지-짐치,나물 줄기로 담은 김치
2934,동지대죽,수수
6020,동크래기,#NAME?
949,돝오름,"산모양이 돼지같이 생겨 붙여진 이름
"
599,되싸지다²`,죽다'를 얕잡은 말.
598,되쓰다,뒤집다.
5464,되약,#NAME?
5463,되약-새기,⇒되약
597,되와지다,"뙤와지다. 꼬이다.
"
1429,된-술,"동쪽에 짙은 숲이 있던 데
"
3553,된-술,#NAME?
5913,두-갓,부부(夫婦)
6016,두-씨왓,처첩(妻妾)
5462,두껑,#NAME?
5461,두께,⇒두껑
5460,두껭이,⇒두껑
2306,두끼,#NAME?
4006,두더니,불두덩
373,두덥다,두둡다. 두껍다.
4005,두두레기,두드러기
6313,두둑,둑. 밭두둑
372,두둑호다,두룩호다. 두툼하다.
772,두러물동산,"비가오면 물이 빠지지 않는 동산
"
725,두련-밧,"둥그스름하고 큰 모양의 밭
"
371,두령청호다,어리둥절하다.
5755,두루-꿈,#NAME?
5912,두루-애기,어리석은 애
3293,두루머지,#NAME?
6018,두루붕-이,반병신. 어리석은 사람을 얕잡은 말
3292,두루애기,노랑하늘타리
6017,두루외,미친사람
5754,두룸-띠,⇒두루꼼
596,두리다,미치다.
370,두리멍청호다,어리석다.
3552,두리치기,여러 가지 뒤섞은 음식
2305,두린-때,어린 때
5911,두린-애기,어린애
1279,두린굿,"정신질환 환자를 치료하는 굿
"
3420,두말-떼기,두 말 들이 솥
5459,두말-떼기,두 말 들이 솥
812,두머니-물,"두는 머리를 의미, 예로부터 아기엄마들이 젖이 잘 나오지 않을 때 이곳에 와서 두머니물을 먹고 목욕하면 젖이 잘 나온다는 데서 붙여진 이름
"
4380,두메기,#NAME?
369,두물다,드물다.
174,두물이,드물게
4366,두미에기,⇒두메기
5458,두벵-들이,두 되 들 만큼 큰 병
2923,두불-콩,강낭콩의 한가지
3748,두주리,#NAME?
5457,두지,뒤주
4004,두테,좃
4003,두테,#NAME?
4379,두테비,두꺼비
2304,두티,⇒두끼
1401,둑개,"뚜껑의 일종으로 항아리나 시루등을 덮었다.
"
4002,둑지,어깻죽지
816,둠부-소,"바다풀인 듬북이 밀려드는 연못
"
3551,둠비,두부
3550,둠비-비제기,#NAME?
3549,둠비-주시,⇒둠비비제기
1812,둠비주셍이,두부찌꺼기
3548,둠빗-물,순물
173,둠시렁히,공간적으로 조금 드문드문
172,둠실둠실,드문드문
595,둥글다,뒹굴다. 굴다.
594,둥글리다,#NAME?
3547,둥절미,길쭉한 쌀떡의 큰것
6210,뒤,북쪽(北)
3291,뒤,#NAME?
2303,뒤-내기,곡식을 몰래 내어 파는 것
5455,뒤-자리,띠자리
5753,뒤-치기,#NAME?
3747,뒤-칩,뒷집
2302,뒤-컬음,뒷걸음
4001,뒤-틀음,⇒뒤주치
981,뒤굽은이,"남동쪽을 산머리로 하여 북쪽으로 등성마루가 구부러져 있다 하여 유래한 이름
"
5456,뒤영-박,#NAME?
3546,뒨-술,⇒된술
4000,뒷-고개,#NAME?
3999,뒷-고방디,#NAME?
5910,뒷-군,거춧군
2301,뒷-손,뒤처리
3998,뒷-솔기,⇒뒷고방디
2300,뒷-시세,뒤처리.
3997,뒷-야게,⇒뒷고개
6169,뒷녁-날,뒷날
1273,뒷칠성,"밧칠성으로 가내 풍요를 가져다 주는 신
"
2299,드끌,티끌
2298,드내-기,들이고 냄
5454,드레,두레박
2823,드룻-마농,달래
6312,드르,#NAME?
5125,드르-팥,들에 있는 밭
593,드르쓰다,마시다.
4695,드릇-고냉이,#NAME?
2766,드릇-국화,산국
4804,드릇-생이,#NAME?
5105,드릇-역시,흙일. 담일등의 밭일
5124,드릇-일,논밭일
1362,드릇뽕낭,산뽕나무
171,든직어니,>돈직어니. 묵직이
3289,들-뽕낭,메뽕나무
2296,들굼-날굼,들어갈 구멍과 나아갈 구멍. 피할 길
2462,들굼날굼,들 구멍과 날 구멍
2822,들굽,두릅(山菜)
3290,들굽-낭,드릅나무
592,들러가다,훔쳐가다.
3996,들럿,윗눈썹 다래끼
1104,들렁-모루,"들음돌 같은 큰돌이 얹어져 있는 동산
"
1046,들렁머리옆,"낮은 언덕 밑에 있어 붙여진 이름
"
591,들르다,들다.
2821,들머기-노물,배추의 한가지
1149,들물꼭지,"밀물일 때 그 영향이 뚜렷하게 미치는 곳
"
